Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.93304443359375,40.49668438609426,39.745166621261546,39.84764572414747,27913900
2015-01-05,39.565834045410156,39.907432198522,39.49751246013629,39.5999915802946,39673900
2015-01-06,38.98512649536133,39.92452579930231,38.891185913416514,39.60854650728631,36447900
2015-01-07,39.480430603027344,39.676850266793366,38.84847225138925,39.26693054357484,29114100
2015-01-08,40.64186477661133,40.778504661922355,39.8988856038421,39.92450456429047,29645200
2015-01-09,40.300270080566406,40.83829114297261,40.05261248730217,40.65895187475466,23944200
2015-01-12,39.796417236328125,40.599179695261356,39.591458965187755,40.49669730193819,23651900
2015-01-13,39.59146499633789,40.91516516308747,39.33526548950789,40.1124058396192,35270600
2015-01-14,39.24986267089844,39.48898502905092,38.95950236709095,39.24986267089844,29719600
2015-01-15,38.839927673339844,39.60852913602388,38.78014792154799,39.47188923796362,32750800
2015-01-16,39.48896789550781,39.523125425206345,38.575184748842155,38.69474750491901,35695300
2015-01-20,39.61707305908203,39.839114959536516,38.916793079653424,39.540212902425104,36161900
2015-01-21,39.215694427490234,39.40357554658407,38.839935447055346,39.232774825385384,39081100
2015-01-22,40.2490234375,40.257562004625086,39.352324032789014,39.60852339731334,35898000
2015-01-23,40.29174041748047,40.47107972533868,39.967219342961,40.445460755002685,26211600
2015-01-26,40.14655685424805,40.24903924651213,39.48897942152804,40.13801828376918,42525500
2015-01-27,36.431663513183594,36.892824594329184,35.96196385990727,36.679324455771436,169164000
2015-01-28,35.176265716552734,36.54266793881627,35.150646754015675,36.49996858200381,84507100
2015-01-29,35.876548767089844,35.970489315039465,34.83467068613174,34.95423019888493,63585300
2015-01-30,34.50162124633789,35.50934208945863,34.45891861545299,35.48371985937702,78004900
2015-02-02,35.25312805175781,35.32998820189546,34.356428471986796,34.66386907253739,50352500
2015-02-03,35.52642059326172,35.8082423306805,35.05672095531723,35.55204282432473,52082400
2015-02-04,35.73136901855469,36.047348184984685,35.32144930751657,35.816767736697194,41614800
2015-02-05,36.252315521240234,36.414574415003784,35.7484551842607,36.05589583160452,36548200
2015-02-06,36.21815490722656,36.54267595413595,35.99611624844823,36.44873539389222,34616600
2015-02-09,36.17545700073242,36.499978060736275,36.0473556392761,36.072977866219134,31381100
2015-02-10,36.38040542602539,36.525587146909785,36.02172692340289,36.49996818465163,29670700
2015-02-11,36.19253158569336,36.42311204462391,36.04734984884712,36.42311204462391,38262500
2015-02-12,36.798885345458984,36.798885345458984,36.30356344233628,36.43166483321386,33268800
2015-02-13,37.465003967285156,37.465003967285156,36.850125774232836,37.04654551373949,40264900
2015-02-17,37.48219680786133,37.8434279543945,37.146763667733154,37.81762666705266,33695700
2015-02-18,37.43918228149414,37.58539720068309,37.318771925065676,37.52519202246886,27111700
2015-02-19,37.41339111328125,37.43919240208022,37.026355376611626,37.13816642963552,27603400
2015-02-20,37.723026275634766,37.74022823147709,37.23278201741004,37.42199696980044,29721100
2015-02-23,37.97244644165039,38.00684706943296,37.54240742546381,37.585410670895,32518800
2015-02-24,37.920833587646484,38.10144915372237,37.77461864301121,37.97243944121247,25271700
2015-02-25,37.83482360839844,37.92083007543916,37.671406727710085,37.80041970920758,29759800
2015-02-26,37.895023345947266,38.04123497509297,37.74880843586563,37.83481817148304,28957300
2015-02-27,37.71441650390625,38.015445752644,37.5510028758054,37.95524055908384,33807700
2015-03-02,37.7402229309082,38.00684500667352,37.45639562077941,37.55960406040027,31924000
2015-03-03,37.22417449951172,37.69722002056867,37.060760861924784,37.46499856866903,31748600
2015-03-04,37.034969329833984,37.163979094255474,36.88015498777777,36.991962794088785,25748700
2015-03-05,37.07795333862305,37.18976436783445,36.82852999689619,37.0435494402601,23193500
2015-03-06,36.43289566040039,37.07795400203372,36.25228011216779,36.98334492031101,36248800
2015-03-09,36.854339599609375,37.095163661576706,36.28668827222587,36.28668827222587,32108000
2015-03-10,36.14908218383789,36.733935565488295,36.14908218383789,36.42430691862189,39159700
2015-03-11,36.1060791015625,36.44150904357668,35.98566868965358,36.389906456151515,32215300
2015-03-12,35.28038787841797,35.82223775162333,35.14277557675553,35.54701314829846,59992500
2015-03-13,35.59001922607422,35.66742635701363,34.92775894602288,35.00516607696228,58007700
2015-03-16,35.74485397338867,35.81365852869108,35.5040298274847,35.66744679808708,35273500
2015-03-17,35.86525344848633,35.97706450774824,35.39221120213745,35.58142613211468,31673400
2015-03-18,36.55332565307617,36.83715305064449,35.547035674653564,35.633042187344365,44194800
2015-03-19,36.37269973754883,36.63072248370324,36.31249453947737,36.34689516627733,33879100
2015-03-20,36.88013458251953,36.9661410445477,36.54470478729898,36.60490996690594,71904500
2015-03-23,36.86294174194336,37.095163183919645,36.794133930570965,36.88014369478646,26246100
2015-03-24,36.89734649658203,37.12956466296428,36.76833348775891,36.79413477714869,25513300
2015-03-25,35.65884017944336,36.923156140614495,35.64163822231217,36.914553521579975,43469900
2015-03-26,35.44380187988281,35.78783427856939,35.19437855488185,35.45240449436484,37495600
2015-03-27,35.23739242553711,35.63302747000862,35.11698204512724,35.36640214128906,34401400
2015-03-30,35.22879409790039,35.727640912825656,35.18579085408133,35.349204492968646,35049700
2015-03-31,34.97077560424805,35.28900358430981,34.86756715035134,35.07398405814475,34887200
2015-04-01,35.022369384765625,35.056770003567145,34.6697376147925,34.91915768555169,36865300
2015-04-02,34.65253448486328,35.03957014139424,34.506319556424316,34.97076234426147,37487500
2015-04-06,35.73624038696289,35.93405793404283,34.557934440905306,34.69554679021906,39223700
2015-04-07,35.719024658203125,36.04585509213316,35.52980980145284,35.787832446793004,28809400
2015-04-08,35.624420166015625,35.85664156093595,35.29759297103416,35.658824064730425,24753400
2015-04-09,35.67603302001953,35.796443408230715,35.47821548496731,35.47821548496731,25723900
2015-04-10,35.8824577331543,36.080275293352365,35.61583235326781,35.80505057647354,28022000
2015-04-13,35.916847229003906,36.17487319191838,35.59861936392885,35.607221979192076,30276700
2015-04-14,35.82225036621094,36.14907764716441,35.59862824667727,35.95126009892292,24244400
2015-04-15,36.34689712524414,36.51891339226388,35.848053559918036,35.916858098163495,27343600
2015-04-16,36.260887145996094,36.41570144333591,35.96846050445834,36.080271559412004,22509700
2015-04-17,35.796443939208984,35.899655657152685,35.40080886323597,35.839447181217,42387600
2015-04-20,36.90593338012695,37.12955213490604,35.84803821991296,35.8910414480317,46057700
2015-04-21,36.6737174987793,37.11235902165959,36.579108414199766,36.98334603706268,26013800
2015-04-22,36.974761962890625,37.09517238171119,36.596325468382744,36.699533930094965,25064300
2015-04-23,37.27578353881836,37.50800501051994,36.8113405954152,36.88874775264907,46309500
2015-04-24,41.17193603515625,41.40415750631873,39.26256496271601,39.271164299749834,130933700
2015-04-27,41.309547424316406,41.39555719732233,40.61288630812391,40.621485644955825,59248200
2015-04-28,42.281436920166016,42.32444016659388,41.025723751223026,41.094528289320124,60730800
2015-04-29,42.1954231262207,42.41044260209251,41.7137783191306,41.902996507797575,47804600
2015-04-30,41.83417510986328,42.60824628390147,41.79977121747586,41.88578094844441,64725500
